,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn,vulnerability_categorymap,susceptibility_categorymap,exposure_categorymap,wri_categorymap
0,Vanuatu,Very High,Very High,High,High,1.6406751871646796,56.33,0.8012525867378264,0.7927082417314734,0.5415563239102934,0.926242308843606,2011.0,0.5637583892617449,4,4,5,5
1,Tonga,Very High,Very High,Medium,Medium,1.2925697980405444,56.04,0.3764592288482913,0.0305277472364494,0.707654887161164,0.1857358153666772,2011.0,0.560853450866473,3,3,5,5
2,Philippinen,Very High,Very High,High,High,0.7251103280984613,45.09,0.5520866252873455,0.5928682340285099,0.773824233496877,0.1066605947061819,2011.0,0.4511669838725834,4,4,5,5
3,Salomonen,Very High,Very High,Very High,High,0.6285468468688212,36.4,1.475211906077841,1.4405616620522437,0.9878618129705604,1.731821119322401,2011.0,0.3641190023039166,5,4,5,5
4,Guatemala,Very High,Very High,High,High,0.3150135683083841,38.42,0.5884233279988741,0.6272593051215778,0.4396015147603682,0.5893489208212879,2011.0,0.3843534007813282,4,4,5,5
5,Bangladesch,Very High,Very High,Very High,High,-0.093891049738117,27.52,1.372257915061844,1.5195681767255085,1.024322473196361,1.3224421123612955,2011.0,0.2751677852348993,5,4,5,5
6,Timor-Leste,Very High,Very High,Very High,Very High,-0.093891049738117,25.97,1.6975579202888609,2.212966529034396,1.2046001820905992,1.4179913373260604,2011.0,0.2596413903636181,5,5,5,5
7,Costa Rica,Very High,Very High,Low,Low,-0.1785331135319993,42.39,-0.6963386607301668,-0.6182551614922417,-0.5353835475740126,-0.788701539230883,2011.0,0.4241210057097065,2,2,5,5
8,Kambodscha,Very High,Very High,High,High,-0.1976073814292122,26.66,1.2658432856923685,1.8281583281552007,1.0202712887268284,0.7491467625727056,2011.0,0.2665531403385756,4,4,5,5
9,El Salvador,Very High,Very High,Medium,Medium,-0.2083366571213944,32.18,0.3193586960158898,0.1801753809116919,0.2721525566863191,0.4204903767025224,2011.0,0.3218471401382349,3,3,5,5
10,Nicaragua,Very High,Very High,High,High,-0.2977472878895796,27.64,0.8124996613866324,1.1728690005710642,0.7886785765518329,0.3191752502312632,2011.0,0.2763698287088049,4,4,5,5
11,Brunei Darussalam,Very High,Very High,Low,Very Low,-0.4956428173231633,36.28,-0.7543043531509386,-1.406461331409047,-0.3551058386797744,-0.4765191576649698,2011.0,0.362916958830011,2,1,5,5
12,Jamaika,Very High,Very High,Medium,Medium,-0.637507684808684,28.11,-0.1469623221153916,-0.2129982156387899,0.0047743816971125,-0.2376460952530574,2011.0,0.2810778323149354,3,3,5,5
13,Chile,Very High,Very High,Low,Low,-0.7471847252176581,31.25,-0.7992926517461638,-0.6275500455714494,-1.0417816062656924,-0.4551029520694192,2011.0,0.3125313032154663,2,2,5,5
14,Mauritius,Very High,Very High,Low,Low,-0.7543375756791131,29.59,-0.632316851190807,-0.8404028909853036,-0.7588738908099408,-0.134683568351371,2011.0,0.2959030351597715,2,2,5,5
15,Japan,Very High,High,Very Low,Very Low,-0.8473246316780257,39.57,-1.6800251127065435,-1.1443456003753925,-2.34018622875116,-0.9287305758171766,2011.0,0.3958729840729239,1,1,5,4
16,Niederlande,Very High,Medium,Very Low,Very Low,-1.255037107980951,29.24,-1.832293200259615,-1.3590574226050882,-2.201770759375434,-1.3422280838543492,2011.0,0.2923970750275468,1,1,5,3
